RUN,Nombre,Apellido P,telefono,email personal,email  institucional,DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,GRADO ACADÉMICO,JERARQUÍA ,CARGO,ESTAMENTO
21423313,Séptima,Vector,789012355,septima.vector@yeeha.com,septima.vector@lamejor.com,,FULL TIME,diurno,vespertino,HOGWARTS,MAGIA,DOCTOR,ASISTENTE DOCENTE,Director (a) Formación Cont. y Postgra,
20082984,Vernon,Dursley,789012356,vernon.dursley.renard@yeeha.com,vernon.dursley.renard@lamejor.com,,HONORARIO,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,ASISTENTE DOCENTE,,
22035082,JK,Rowling,456789021,hkrowling@editorial.edito,hkrowling@lamejor.com,,FULL TIME,diurno,vespertino,HOGWARTS,MAGIA,,ASOCIADO DOCENTE,Profesor por Jornada,
17241044,Voldemort,SeñorOscuro,234567902,voldemort.senoroscuros.elinnombrable@gmall.com,voldemort.senoroscuros.elinnombrable@lamejor.com,-1.0,FULL TIME,diurno,,HOGWARTS,MAGIA,MAGISTER,ASOCIADO REGULAR,Profesor por Jornada,
19457329,Fleur,Delacour,678901238,fleur.delacour.diaz@gmall.com,fleur.delacour.diaz@lamejor.com,,FULL TIME,diurno,vespertino,BEAUXBATON,,LICENCIATURA,INSTRUCTORA DOCENTE,Secretaria Estudios,
,,,,,,20.0,,,,,,,,Administrativo,Administrativo
,,,,,,40.0,,,,,,,,Técnico Contable,Administrativo
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,INSTRUCTOR DOCENTE,,
23677609,Daphne,Greengrass,345678904,daphne.greengrass@michea.com,daphne.greengrass@lamejor,,HONORARIO,diurno,,BEAUXBATON,,MAGISTER,INSTRUCTOR DOCENTE,,
15089005,Bellatrix,Lestrange,234567892,bellatrix.lestrange.beltran@gmall.com,bellatrix.lestrange.beltran@lamejor.com,,HONORARIO,diurno,,,,MAGISTER,TITULAR REGULAR,,
24017462,Steve, Kloves,,,,,,,,,,,,,
12684784-K,,,,,,40.0,,,,,,,,Secretario (a) de Dirección,Administrativo
,,,,,,,HONORARIO,,,,,,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER ,INSTRUCTORA DOCENTE,,
,"araya MARIN,  OLGA sonia",,,,,40.0,,,,,,,,Asistente,Administrativo
19064170,Gilderoy,Lockhart,901234571,gilderoy.lockhart@yeeha.com,gilderoy.lockhart@lamejor.com,,HONORARIO,diurno,,BEAUXBATON,HECHICERÍA,DOCTOR ,ASISTENTE DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,ASISTENTE DOCENTE,,
,,,,,,40.0,FULL TIME,,,,,0,TITULAR DOCENTE,Académico Investigador,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
,,,,,,40.0,FULL TIME,diurno,,,,DOCTOR,ASOCIADA REGULAR,Académico Investigador,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,PROFESOR TITULAR DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,COMISIÓN SUPERIOR ASOCIADO REGULAR,,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,40.0,HONORARIO,diurno,vespertino,,,MAGISTER,PROFESOR TITULAR DOCENTE,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,SIN JERARQUIZAR,,
,,,,,,,planta,,,,,0,ASISTENTE REGULAR,Profesor por Jornada,
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
16789372,Ernie,Macmillan,345678905,ernie.macmillan@riquelme.com,ernie.macmillan@lamejor,,FULL TIME,diurno,,BEAUXBATON,HECHICERÍA,MAGISTER,ASOCIADO DOCENTE,Director(a) Carrera (i),
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,TITULAR DOCENTE,Académico Investigador,
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,,,Académico
,,,,,,20.0,FULL TIME,diurno,,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,TITULAR DOCENTE,Profesor,
,,,,,,,HONORARIO,,diurno,,,LICENCIATURA,LICENCIATURA,,Académico
17043066,Minerva,McGonagall,,minerva.mcgonagall@gmall.com,minerva.mcgonagall@lamejor.com,,HONORARIO,diurno,,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
9866866,Luna,Lovegood,456789019,luna.lovegood.diaz@yeeha.com,luna.lovegood.diaz@lamejor.com,,,diurno,,HOGWARTS,MAGIA,MAGISTER,INSTRUCTOR DOCENTE,,
22073090,Dennis,Creevey,,dennis.creevey.nash@gmall.com,dennis.creevey.nash@lamejor.com,,,,,,,MAGISTER,,,
7777777,EDUARDO SANTIAGO,BUSTOS,BAHAMONDE,eb@uc.cl,eb@lamejor.cl,80.0,,A VECES,TAMBIEN,HOGWARTS,,,BAJA,JUNIOR,administrativo
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,TITULAR DOCENTE,,Académico
13689982,Remus,Lupin,789012354,remus.lupin@coldmail.com,remus.lupin@lamejor.com,,FULL TIME,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,ASOCIADO DOCENTE,Profesor por Jornada,
,,,,,,,HONORARIO,,,,,,ASOCIADO DOCENTE,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,PROFESOR ASISTENTE DOCENTE,,Académico
8270690,Vincent,Crabbe,901234578,vincent.crabbe.piturra@gmall.com,vincent.crabbe.piturra@lamejor.com,,HONORARIO,,vespertino,HOGWARTS,MAGIA,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
15647936,,,,,,,HONORARIO,,,,,MAGISTER,INSTRUCTOR DOCENTE,Profesor por Jornada,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,TITULAR DOCENTE,,
7682646,Dudley,Dursley,234567894,dudley.dursley.plaza@coldmail.com,dudley.dursley.plaza@lamejor.com,,HONORARIO,,,BEAUXBATON,HECHICERÍA,MAGISTER,INSTRUCTOR DOCENTE,,
6666666,Voldemort,SeñorOscuro,567890123,voldemort.senoroscuros@elinnombrable.com,voldemort.senoroscuros.elinnombrable@lamejor.com,,GRATIS,diurno,,,, LICENCIATURA,,VACANTE,
,,,,,,,HONORARIO,,,,,MAGISTER,SIN JERARQUIZAR,,
,,,,,,10.0,HONORARIO,,,,,,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,ASOCIADO DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,ASOCIADO DOCENTE,,
9808360,Firenze,,,firenze@yeeha.com,firenze@lamejor.com,,,,,,,,,,
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASOCIADO REGULAR,Académico Investigador,
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,ASISTENTE DOCENTE,,Académico
,,,,,,,JORNADA,,vespertino,,,DOCTOR,ASOCIADO DOCENTE,Director Inst. Investigación y Postgra,
,,,,,,,JORNADA,,,,,0,ASISTENTE DOCENTE,Profesor por Jornada,
,,,,,,40.0,FULL TIME,diurno,,,,LICENCIATURA,INSTRUCTOR DOCENTE,Director Clínica,Académico
,,,,,,40.0,FULL TIME,,,,,,,Encargado Servicios,Administrativo
19036378,Lee,Jordan,,lee.jordan.marin@yeeha.com,lee.jordan.marin@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,,vespertino,,,0,SIN JERARQUIZAR,,
12114054,Justin,Finch-Fletchley,,justin.finch-fletchley@latorre.com,justin.finch-fletchley@@lamejor,,,,,,,,,,
,,,,,,20.0,FULL TIME,,,,,MAGISTER,SIN JERARQUIZAR,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
21103479,Harry,Potter,,harry.potter.badilla@yeeha.com,harry.potter.badilla@lamejor.com,,,,,,,DOCTOR,,,
21673365,Irman.,Pince,,irma.pince@coldmail.com,irma.pince@lamejor.com,,,,,,,,,,
13827502,Remus,Lupin,678901243,remus.lupin.barrientos@yeeha.com,remus.lupin.barrientos@lamejor.com,,FULL TIME,diurno,,HOGWARTS,MAGIA,MAGISTER,TITULAR DOCENTE,Profesor 1/2 Jornada,
,,,,,,,HONORARIO,,vespertino,,,0,INSTRUCTOR DOCENTE,,
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,ASISTENTE REGULAR,Profesor por Jornada,
11057406,Filius,Flitwick,456789016,filius.flitwick@coldmail.com,filius.flitwick@lamejor.com,,HONORARIO,diurno,,BEAUXBATON,HECHICERÍA,MAGISTER,SIN JERARQUIZAR,,
,,,,,,10.0,HONORARIO,diurno,,,,Bachiller,ASISTENTE DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,PROFESOR TITULAR DOCENTE,,Académico
12972527,Seamus,Finnigan,678901244,seamus.finnigan.contreras@coldmail.com,seamus.finnigan.contreras@lamejor.com,,HONORARIO,diurno,,HOGWARTS,MAGIA,MAGISTER,ASOCIADO DOCENTE,,
100,POR,DESIGNAR,,,,,,,,,,MAGISTER,ASISTENTE REGULAR,,
4010,POR,DESIGNAR,,,,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,PROFESORA ASISTENTE DOCENTE,,Académico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,ASISTENTE REGULAR,,
,,,,,,40.0,FULL TIME,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,LICENCIATURA,PROFESOR TITULAR DOCENTE,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASOCIADO DOCENTE,,
,,,,,,40.0,HONORARIO,,vespertino,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,DOCTOR,ASOCIADA REGULAR,Académico Investigador,
,,,,,,40.0,HONORARIO,diurno,vespertino,,,DOCTOR,PROFESOR ASOCIADO REGULAR,,Académico
,,,,,,,HONORARIO,diurno,,,,DOCTORA,ASOCIADA DOCENTE,,Académico
,,,,,,40.0,HONORARIO,diurno,vespertino,,,DOCTOR,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,40.0,FULL TIME,,,,,0,ASOCIADO DOCENTE,Director(a) Carrera (i),Académico
,,,,,,,JORNADA,,,,,0,ASOCIADO DOCENTE,Profesor por Jornada,
,,,,,,,HONORARIO,,,,,,ASISTENTE REGULAR,,Académico
17922276,,,,,,40.0,FULL TIME,,,,,,,Secretaria (o),Administrativo
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,,JORNADA,,,,,0,ASOCIADO DOCENTE,Coordinador Docente y Formación Contin,
7900381,Viktor,Krum,890123467,viktor.krum.duran@yeeha.com,viktor.krum.duran@lamejor.com,,FULL TIME,diurno,,HOGWARTS,MAGIA,MAGISTER,ASOCIADO DOCENTE,Profesor 1/2 Jornada,
,,,,,,10.0,HONORARIO,,,,,,TITULAR DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,PROFESOR ASOCIADO DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,SIN JERARQUIZAR,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
12791816,Xenophilius,Lovegood,456789024,xenophilius.lovegood.gonzalez@coldmail.com,xenophilius.lovegood.gonzalez@lamejor.com,,HONORARIO,,vespertino,HOGWARTS,MAGIA,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
14064936,Angelina,Johnson,456789013,angelina.johnson.reyes@yeeha.com,angelina.johnson.reyes@lamejor.com,,HONORARIO,diurno,,BEAUXBATON,MAGIA,LICENCIATURA,SIN JERARQUIZAR,,
,,,,,,,HONORARIO,,,,,,INSTRUCTOR DOCENTE,,Académico
,,,,,,,JORNADA,diurno,vespertino,,,0,ASOCIADO DOCENTE,Director(a) Carrera,
,,,,,,,HONORARIO ,diurno,,,,MAGISTER,,,Académico
111861590,,,,,,40.0,FULL TIME,,,,,,,Secretaria - Escuela,Administrativo
,,,,,,40.0,FULL TIME,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASISTENTE REGULAR,Académico Investigador,
7481441,Arthur,Weasley,789012346,arthur.weasley.diaz@yeeha.com,arthur.weasley.diaz@lamejor.com,,FULL TIME,diurno,,,,LICENCIATURA,INSTRUCTOR DOCENTE,Coord. de Clínica ,Académico
,,,,,,,,,,,,,INSTRUCTORA DOCENTE,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
15647218,Cuthbert,Binns,,cuthbert.binns@yeeha.com,cuthbert.binns@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,,,,,,INSTRUCTORA DOCENTE,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,ASOCIADO DOCENTE,Profesor por Jornada,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
21904102,Petunia,Dursley,890123464,petunia.dursley.jeraldo@gmall.com,petunia.dursley.jeraldo@lamejor.com,,HONORARIO,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,ASISTENTE DOCENTE,,
22336345,Blaise,Zabini,,blaise.zabini.pardo@gmall.com,blaise.zabini.pardo@lamejor.com,,,,,,,,,,
,,,,,,,JORNADA,,vespertino,,,MAGISTER,ASOCIADO DOCENTE,Director(a) Carrera,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,PROFESOR TITULAR DOCENTE,,Académico
19164741,David ,Heyman,,,,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,,vespertino,,,0,ASISTENTE DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
14550636,Ginny,Weasley,,ginny.weasley.rojas@gmall.com,ginny.weasley.rojas@lamejor.com,,,,,,,,,,
11055885,James,Potter,,james.potter.cortes@coldmail.com,james.potter.cortes@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,,,,,,,INSTRUCTOR DOCENTE,,
,,,,,,,JORNADA,,,,,0,ASISTENTE REGULAR,Profesor por Jornada,
20666086,Marietta,Edgecombe,,marietta.edgecombe@dietz.com,marietta.edgecombe@lamejor,,,,,,,MAGISTER,,,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,ASISTENTE DOCENTE,,Académico
,,,,,,40.0,HONORARIO,,,,,,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,40.0,FULL TIME,diurno,,,,DOCTOR,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASISTENTE DOCENTE,Profesor por Jornada,
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASISTENTE DOCENTE,Profesor por Jornada,
,,,,,,,JORNADA,diurno,,,,MAGISTER,ASOCIADA REGULAR,Director (a) Centro de Sol. Colab.de C,
,,,,,,,HONORARIO,,vespertino,,,LICENCIATURA,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,SIN CONOCIMIENTO,,
,,,,,,,,diurno,,,,LICENCIATURA,INSTRUCTOR DOCENTE,,
7505853,Charity,Burbage,,charity.burbage@coldmail.com,charity.burbage@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,,vespertino,,,0,ASISTENTE DOCENTE,,Académico
,,,,,,40.0,HONORARIO,diurno,,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,Director(a) Escuela,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,ASOCIADA DOCENTE,,Académico
7434992,Padma,Patil,456789020,padma.patil.sandoval@coldmail.com,padma.patil.sandoval@lamejor.com,,FULL TIME,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,TITULAR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,,,,,,SIN JERARQUIZAR,,
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
23116372,Cornelius,Fudge,,cornelius.fudge.avila@yeeha.com,cornelius.fudge.avila@lamejor.com,,,,,,,,,,
,,,,,,,,,,,,,ASOCIADO REGULAR,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
,,,,,,40.0,FULL TIME,diurno,,,,MAGISTER,PROFESORA ASISTENTE REGULAR,Secretaria Ejecutiva del Centro ...,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,,,,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,
20354821,Quirinus,Quirrell,567890132,quirinus.quirrell@yeeha.com,quirinus.quirrell@lamejor.com,,FULL TIME,diurno,vespertino,HOGWARTS,MAGIA,,TITULAR DOCENTE,Profesor por Jornada,
,,,,,,,HONORARIO,,,,,,SIN CONOCIMIENTO,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,INSTRUCTOR DOCENTE,,
,,,,,,40.0,FULL TIME,,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,SIN JERARQUIZAR,,
,,,,,,10.0,HONORARIO,,,,,,SIN JERARQUIZAR,,Académico
,,,,,,40.0,FULL TIME,diurno,vespertino,,,DOCTOR,PROFESOR ASISTENTE REGULAR,,Académico
12193904,Silvanusn.,Kettleburn,901234577,silvanus.kettleburn@gmall.com,silvanus.kettleburn@lamejor.com,,HONORARIO,,vespertino,HOGWARTS,MAGIA,MAGISTER,ASOCIADO DOCENTE,,
14183901,Terry,Boot,567890134,terry.boot.diaz@coldmail.com,terry.boot.diaz@lamejor.com,,FULL TIME,,vespertino,HOGWARTS,MAGIA,MAGISTER,ASOCIADO DOCENTE,Director Inst. Investigación y Postgra,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,TITULAR DOCENTE,,
,,,,,,40.0,FULL TIME,diurno,vespertino,,,0,COMISIÓN SUPERIOR ASOCIADO REGULAR,Director(a) Carrera,Académico
,,,,,,40.0,FULL TIME,diurno,vespertino,,,MAGISTER,PROFESOR TITULAR DOCENTE,,Académico
13475408,Poppy,Pomfrey,234567899,poppy.pomfrey@gmall.com,poppy.pomfrey@lamejor.com,,FULL TIME,,vespertino,HOGWARTS,MAGIA,LICENCIATURA,TITULAR DOCENTE,Profesor por Jornada,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,40.0,FULL TIME,diurno,vespertino,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,Decano(a),Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR,,
15992956,Dolores,Umbridge,,dolores.umbridge@coldmail.com,dolores.umbridge@lamejor.com,,,,,,,LICENCIATURA,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
8761982,Helga ,Hufflepuff,,helga.hufflepuff.bozo@coldmail.com,helga.hufflepuff.bozo@lamejor.com,,,,,,,DOCTOR,,,
20638852,Sirius,Black,234567901,sirius.black.esquivel@coldmail.com,sirius.black.esquivel@lamejor.com,,FULL TIME,diurno,,HOGWARTS,MAGIA,MAGISTER,ASOCIADA REGULAR,Director (a) Centro de Sol. Colab.de C,
,,,,,,10.0,HONORARIO,,vespertino,,,0,PROFESOR ASOCIADO DOCENTE,,Académico
12758128,Argus,Filch,678901235,argus.filch@gmall.com,argus.filch@lamejor.com,,HONORARIO,diurno,,BEAUXBATON,,DOCTOR ,ASISTENTE DOCENTE,,
,,,,,,40.0,FULL TIME,diurno,vespertino,,,DOCTOR,PROFESOR ASOCIADO REGULAR,Director Depto. ,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,TITULAR DOCENTE,Profesor 1/2 Jornada,
122637826,,,,,,40.0,FULL TIME,,,,,,,Secretaria - Escuela,Administrativo
24009027,Neville,Longbottom,234567898,neville.longbottom.valenzuela@gmall.com,neville.longbottom.valenzuela@lamejor.com,,HONORARIO,diurno,vespertino,HOGWARTS,MAGIA,MAGISTER,INSTRUCTOR DOCENTE,,
,,,,,,,HONORARIO,diurno,vespertino,,,LICENCIATURA,TITULAR DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,COMISIÓN SUPERIOR ASOCIADA DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,SIN JERARQUIZAR,,
,,,,,,10.0,,diurno,,,,MAGISTER,SIN JERARQUIZAR,,Académico
,,,,,,40.0,FULL TIME,,,,,0,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,0,INSTRUCTOR DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,ASOCIADA DOCENTE,,
16901248,Hermione,Granger,890123461,hermione.granger.benavides@coldmail.com,hermione.granger.benavides@lamejor.com,,HONORARIO,diurno,,BEAUXBATON, HECHICERÍA,DOCTOR,ASOCIADA DOCENTE,,
21713351,Cormac,McLaggen,890123458,cormac.mclaggen@valenzuela.com,cormac.mclaggen@lamejor,,HONORARIO,diurno,,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,ASISTENTE DOCENTE,Coord. de Seguimiento y Apoyo al Egres,
,,,,,,,HONORARIO,diurno,vespertino,,,0,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,SIN JERARQUIZAR,,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,COMISIÓN SUPERIOR ASOCIADO DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,INSTRUCTORA DOCENTE,,Académico
,,,,,,20.0,FULL TIME,diurno,,,,MAGISTER,PROFESOR TITULAR DOCENTE,,Académico
15155275,Pansy,Parkinson,567890131,pansy.parkinson.larroucau@coldmail.com,pansy.parkinson.larroucau@lamejor.com,,FULL TIME,,vespertino,HOGWARTS,MAGIA,MAGISTER,INSTRUCTOR DOCENTE,,
12866079,Colin,Creevey,,colin.creevey.bermudez@gmall.com,colin.creevey.bermudez@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,ASISTENTE DOCENTE,,
,,,,,,,HONORARIO,diurno,,,,DOCTOR ,ASISTENTE DOCENTE,,Académico
123712616,,,,,,40.0,FULL TIME,,,,,,,Secretaria (o),Administrativo
,,,,,,10.0,HONORARIO,,,,,,,,Académico
12273600,Alastor,PITURRA ,,alastor.piturra@yeeha.com,alastor.moody@lamejor.com,,,,,,,,,,
,,,,,,10.0,,diurno,,,,MAGISTER,INSTRUCTOR DOCENTE,,Académico
,,,,,,,HONORARIO,,,,,,INSTRUCTORA DOCENTE,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,PROFESOR ASISTENTE DOCENTE,,Académico
,,,,,,40.0,FULL TIME,diurno,,,,MAGISTER,PROFESORA ASISTENTE DOCENTE,Director(a) Carrera,Académico
,,,,,,,JORNADA,,,,,0,TITULAR REGULAR,Académico Investigador,
,,,,,,40.0,FULL TIME,diurno,vespertino,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,TITULAR REGULAR,,
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,PROFESOR ASOCIADO DOCENTE,,Académico
,,,,,,40.0,FULL TIME,diurno,,,,MAGISTER,ASISTENTE REGULAR,Académico Investigador,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,INSTRUCTOR DOCENTE,,Académico
