RUN,"Número de estudiante","sigla curso","Periodo curso",Calificación,Nota
12830325,1233,DV023450,2009-01,MM,1
12830325,1233,DV023451,2009-01,I,3
12830325,1233,DV023451,2009-01,NP,
12830325,1233,DV023453,2009-01,SU,4
12830325,1233,DV023455,2009-01,SU,4
12830325,1233,DV023502,2009-01,M,2
12830325,1233,DV023503,2009-01,B,5
12830325,1233,DV023450,2009-02,M,2
12830325,1233,DV023451,2009-02,MM,1
12830325,1233,DV023451,2009-02,I,3
12830325,1233,DV023457,2009-02,MM,1
12830325,1233,DV023457,2009-02,I,3
12830325,1233,DV023458,2009-02,I,3
12830325,1233,DV023450,2010-01,SU,4
12830325,1233,DV023451,2010-01,I,3
12830325,1233,DV023457,2010-01,I,3
12830325,1233,DV023458,2010-01,SU,4
12830325,1233,DV023977,2010-01,MM,1
12830325,1233,DV023456,2010-02,MM,1
12830325,1233,DV023459,2010-02,MM,1
12830325,1233,DV023462,2010-02,I,3
12830325,1233,DV023463,2010-02,SU,4
12830325,1233,DV023464,2010-02,I,3
12830325,1233,DV023464,2010-02,NP,
12830325,1233,DV023456,2011-01,NP,
12830325,1233,DV023464,2011-01,I,3
12830325,1233,DV023468,2011-01,M,2
12830325,1233,DV023469,2011-01,SU,4
12830325,1233,DV023470,2011-01,MM,1
12830325,1233,DV023459,2011-02,MM,1
12830325,1233,DV023468,2011-02,I,3
12830325,1233,DV023475,2011-02,I,3
12830325,1233,DV024000,2011-02,B,5
12830325,1233,DV024002,2011-02,M,2
12830325,1233,DV023467,2012-01,I,3
12830325,1233,DV023468,2012-01,SU,4
12830325,1233,DV023470,2012-01,SU,4
12830325,1233,DV023470,2012-01,NP,
12830325,1233,DV023487,2012-01,MM,1
12830325,1233,DV023487,2012-01,I,3
12830325,1233,DV023977,2012-01,SO,6
12830325,1233,DV023473,2012-02,I,3
12830325,1233,DV023473,2012-02,NP,
12830325,1233,DV023474,2012-02,SU,4
12830325,1233,DV023474,2012-02,NP,
12830325,1233,DV023476,2012-02,MM,1
12830325,1233,DV023476,2012-02,I,3
12830325,1233,DV023487,2012-02,I,3
12830325,1233,DV023506,2012-02,MB,6
12830325,1233,DV023459,2014-01,SU,4
12830325,1233,DV023473,2014-01,MM,1
12830325,1233,DV023473,2014-01,I,3
12830325,1233,DV023480,2014-01,I,3
12830325,1233,DV024002,2014-01,SU,4
12830325,1233,DV024441,2014-01,SU,4
12830325,1233,DV023473,2014-02,MM,1
12830325,1233,DV023473,2014-02,I,3
12830325,1233,DV023480,2014-02,I,3
12830325,1233,DV023482,2014-02,MM,1
12830325,1233,DV023488,2014-02,MM,1
12830325,1233,DV023488,2014-02,I,3
12830325,1233,DV023473,2015-01,SU,4
12830325,1233,DV023473,2015-01,I,3
12830325,1233,DV023482,2015-01,NP,
12830325,1233,DV023482,2015-01,SU,4
12830325,1233,DV023488,2015-01,M,2
12830325,1233,DV024092,2015-01,MM,1
12830325,1233,DV023479,2021-01,B,5
12830325,1233,DV023485,2021-01,B,5
12830325,1233,DV023488,2021-01,MB,6
12830325,1233,DV024442,2021-01,B,5
12830325,1233,DV023489,2021-02,MB,6
12830325,1233,DV023985,2021-02,MB,6
12830325,1233,DV024497,2021-01,SO,7
12830325,1233,DV023490,2022-01,B,5
12830325,1233,DV023492,2022-01,SU,4
12830325,1233,DV0227515,2022-01,SO,6
12830325,1233,DV0227521,2022-02,B,5
12830325,1233,DV0227576,2022-02,B,5
12830325,1233,DV024090,2021-01,SO,7
12830325,1233,DV023502,2009-02,B,5
12830325,1233,DV021635,2024-01,SU,4
19983261,704,DS034002,2010-02,SU,4
19983261,704,DS033462,2010-02,SU,4
19983261,704,DS033474,2014-01,SU,4
19983261,704,DS033480,2023-01,SU,4
19983261,704,DS033488,2023-02,MB,6
19983261,704,DS033464,2013-01,SU,4
19983261,704,DS033470,2013-01,SU,4
19983261,704,DS033450,2010-01,SU,4
19983261,704,DS033450,2010-01,I,3
19983261,704,DS033457,2010-01,I,3
19983261,704,DS033457,2010-01,SU,4
19983261,704,DS033461,2010-01,B,5
19983261,704,DS033459,2010-02,SU,4
19983261,704,DS033462,2010-02,I,3
19983261,704,DS033464,2010-02,MM,1
19983261,704,DS033467,2010-02,I,3
19983261,704,DS033464,2011-01,MM,1
19983261,704,DS033467,2011-01,SU,4
19983261,704,DS033468,2011-01,I,3
19983261,704,DS033469,2011-01,I,3
19983261,704,DS033470,2011-01,MM,1
19983261,704,DS033470,2011-01,I,3
19983261,704,DS034093,2011-01,M,2
19983261,704,DS033464,2011-02,M,2
19983261,704,DS033468,2011-02,I,3
19983261,704,DS033469,2011-02,SU,4
19983261,704,DS033470,2011-02,MM,1
19983261,704,DS033470,2011-02,I,3
19983261,704,DS034092,2011-02,MM,1
19983261,704,DS033464,2013-01,I,3
19983261,704,DS033468,2013-01,SU,4
19983261,704,DS033470,2013-01,I,3
19983261,704,DS033475,2013-01,I,3
19983261,704,DS033474,2013-02,I,3
19983261,704,DS034092,2013-02,M,2
19983261,704,DS034095,2013-02,M,2
19983261,704,DS033474,2014-01,I,3
19983261,704,DS033479,2014-01,M,2
19983261,704,DS033479,2014-01,I,3
19983261,704,DS033487,2014-01,I,3
19983261,704,DS033506,2014-01,MM,1
19983261,704,DS034092,2014-01,MM,1
19983261,704,DS033475,2013-02,SU,4
19983261,704,DS033479,2023-01,SU,4
19983261,704,DS033480,2023-01,I,3
19983261,704,DS033487,2023-01,SU,4
19983261,704,DS034497,2023-01,B,5
19983261,704,DS033481,2023-02,I,3
19983261,704,DS033481,2023-02,B,5
19983261,704,DS033486,2023-02,I,3
19983261,704,DS033486,2023-02,SU,4
19983261,704,DS034441,2023-02,I,3
19983261,704,DS033476,2024-01,x,
19983261,704,DS033490,2024-01,x,
19983261,704,DS033491,2024-01,x,
19983261,704,DS034441,2024-01,x,
19983261,704,DS034442,2024-01,x,
19983261,704,DS034091,2010-01,SU,4
19983261,704,DS033977,2013-02,SU,4
19983261,704,DS034090,2010-01,B,5
18203700,2601,HF023450,2012-01,B,5
18203700,2601,HF023451,2012-01,MM,1
18203700,2601,HF023453,2012-01,I,3
18203700,2601,HF023958,2012-01,I,3
18203700,2601,HF024090,2012-01,SU,4
18203700,2601,HF024440,2012-01,I,3
18203700,2601,HF023451,2012-02,I,3
18203700,2601,HF023456,2012-02,I,3
18203700,2601,HF023459,2012-02,M,2
18203700,2601,HF024440,2012-02,SU,4
18203700,2601,HF024440,2012-02,NP,
18203700,2601,HF023457,2013-01,I,3
18203700,2601,HF023458,2013-01,MM,1
18203700,2601,HF023459,2013-01,I,3
18203700,2601,HF023461,2013-01,SU,4
18203700,2601,HF024092,2013-01,SU,4
18203700,2601,HF023458,2013-02,SU,4
18203700,2601,HF023462,2013-02,SU,4
18203700,2601,HF023462,2013-02,I,3
18203700,2601,HF023464,2013-02,MM,1
18203700,2601,HF023464,2013-02,I,3
18203700,2601,HF023467,2013-02,I,3
18203700,2601,HF024091,2013-02,M,2
18203700,2601,HF023463,2014-01,I,3
18203700,2601,HF023464,2014-01,I,3
18203700,2601,HF023467,2014-01,M,2
18203700,2601,HF023468,2014-01,NP,
18203700,2601,HF023507,2014-01,B,5
18203700,2601,HF023464,2014-02,I,3
18203700,2601,HF023467,2014-02,SU,4
18203700,2601,HF023469,2014-02,I,3
18203700,2601,HF023474,2014-02,M,2
18203700,2601,HF023469,2015-01,I,3
18203700,2601,HF023470,2015-01,I,3
18203700,2601,HF023470,2015-01,SU,4
18203700,2601,HF023473,2015-01,NP,
18203700,2601,HF023473,2015-01,I,3
18203700,2601,HF023474,2015-01,I,3
18203700,2601,HF0210059,2015-01,I,3
18203700,2601,HF023469,2015-02,SU,4
18203700,2601,HF023473,2015-02,I,3
18203700,2601,HF023474,2015-02,I,3
18203700,2601,HF023476,2015-02,M,2
18203700,2601,HF024093,2015-02,SU,4
18203700,2601,HF023473,2016-01,SU,4
18203700,2601,HF023473,2016-01,I,3
18203700,2601,HF023475,2016-01,I,3
18203700,2601,HF023476,2016-01,I,3
18203700,2601,HF023480,2016-01,M,2
18203700,2601,HF023481,2016-01,SU,4
18203700,2601,HF023481,2016-01,NP,
18203700,2601,HF023479,2016-02,M,2
18203700,2601,HF023480,2016-02,MM,1
18203700,2601,HF023482,2016-02,MM,1
18203700,2601,HF023487,2016-02,MM,1
18203700,2601,HF023488,2016-02,MM,1
18203700,2601,HF023457,2013-01,SU,4
18203700,2601,HF023468,2014-01,SU,4
18203700,2601,HF023479,2021-01,B,5
18203700,2601,HF023480,2021-01,B,5
18203700,2601,HF023977,2021-01,MB,6
18203700,2601,HF023474,2015-02,SU,4
18203700,2601,HF023482,2021-02,B,5
18203700,2601,HF023485,2021-02,MB,6
18203700,2601,HF023486,2021-02,B,5
18203700,2601,HF023488,2021-02,MM,1
18203700,2601,HF024002,2021-02,B,5
18203700,2601,HF024441,2021-02,SU,4
18203700,2601,HF024441,2021-02,I,3
18203700,2601,HF024442,2022-02,SU,4
18203700,2601,HF023488,2022-01,SU,4
18203700,2601,HF023488,2022-01,I,3
18203700,2601,HF023489,2022-01,SU,4
18203700,2601,HF023490,2022-01,SU,4
18203700,2601,HF024442,2022-01,I,3
18203700,2601,HF0227525,2022-01,SU,4
18203700,2601,HF023491,2022-02,SU,4
18203700,2601,HF023491,2022-02,I,3
18203700,2601,HF023492,2022-02,MB,6
18203700,2601,HF024442,2022-02,I,3
18203700,2601,HF024444,2022-02,SU,4
18203700,2601,HF0227573,2022-02,SU,4
18203700,2601,HF023459,2013-01,SU,4
18203700,2601,HF023464,2014-02,SU,4
18203700,2601,HF023476,2016-01,SU,4
18203700,2601,HF023456,2012-02,SU,4
18203700,2601,HF023493,2024-01,x,
18203700,2601,HF023494,2024-01,x,
18203700,2601,HF023495,2024-01,x,
18203700,2601,HF023509,2024-01,x,
18203700,2601,HF0210059,2024-01,x,
18203700,2601,HF0227575,2024-01,x,
18203700,2601,HF023463,2014-01,SU,4
18203700,2601,HF023475,2016-01,SU,4
18203700,2601,HF023487,2021-01,B,5
18203700,2601,HF023451,2012-02,SU,4
18203700,2601,HF0227544,2022-02,SO,7
18203700,2601,HF0227576,2022-02,SU,4
18203700,2601,HF0227570,2022-01,SO,7
18203700,2601,HF023453,2012-01,SU,4
18203700,2601,HF024091,2014-02,SU,4
18456009,3127,HF023493,2018-01,MB,6
18456009,3127,HF023450,2013-02,I,3
18456009,3127,HF023451,2013-02,SU,4
18456009,3127,HF023453,2013-02,I,3
18456009,3127,HF023453,2013-02,SU,4
18456009,3127,HF023458,2013-02,I,3
18456009,3127,HF024000,2013-02,SO,6
18456009,3127,HF024440,2013-02,I,3
18456009,3127,HF023456,2014-01,I,3
18456009,3127,HF023458,2014-01,B,5
18456009,3127,HF023459,2014-01,SU,4
18456009,3127,HF024148,2014-01,MM,1
18456009,3127,HF024440,2014-01,SU,4
18456009,3127,HF023457,2014-02,SU,4
18456009,3127,HF023463,2014-02,B,5
18456009,3127,HF023464,2014-02,SU,4
18456009,3127,HF024497,2014-02,B,5
18456009,3127,HF023462,2015-01,I,3
18456009,3127,HF023467,2015-01,MB,6
18456009,3127,HF023469,2015-01,SU,4
18456009,3127,HF023470,2015-01,SU,4
18456009,3127,HF023977,2015-01,B,5
18456009,3127,HF024093,2015-01,B,5
18456009,3127,HF023468,2015-02,SU,4
18456009,3127,HF023473,2015-02,SU,4
18456009,3127,HF023475,2015-02,SU,4
18456009,3127,HF023476,2015-02,I,3
18456009,3127,HF024092,2015-02,SU,4
18456009,3127,HF024148,2015-02,MB,6
18456009,3127,HF023474,2016-01,SU,4
18456009,3127,HF023479,2016-01,B,5
18456009,3127,HF023479,2016-01,I,3
18456009,3127,HF023481,2016-01,M,2
18456009,3127,HF023482,2016-01,B,5
18456009,3127,HF023487,2016-01,SU,4
18456009,3127,HF023480,2016-02,I,3
18456009,3127,HF023481,2016-02,SU,4
18456009,3127,HF023485,2016-02,MM,1
18456009,3127,HF023485,2016-02,I,3
18456009,3127,HF023488,2016-02,SU,4
18456009,3127,HF024441,2016-02,B,5
18456009,3127,HF023480,2017-01,SU,4
18456009,3127,HF023485,2017-01,B,5
18456009,3127,HF023490,2017-01,B,5
18456009,3127,HF023491,2017-01,MB,6
18456009,3127,HF023512,2017-01,SO,6
18456009,3127,HF024137,2017-01,SO,6
18456009,3127,HF0210059,2014-02,MB,6
18456009,3127,HF023486,2017-02,I,3
18456009,3127,HF023489,2017-02,SU,4
18456009,3127,HF023492,2017-02,SU,4
18456009,3127,HF0227501,2017-02,MB,6
18456009,3127,HF023495,2018-01,B,5
18456009,3127,HF023509,2018-01,B,5
18456009,3127,HF024442,2018-01,B,5
18456009,3127,HF024444,2018-01,I,3
18456009,3127,HF023462,2015-01,SU,4
18456009,3127,HF023486,2017-02,SU,4
17147602,897,DS034442,2018-02,B,5
18456009,3127,HF023450,2013-02,SU,4
18456009,3127,HF023476,2015-02,SU,4
18456009,3127,HF023456,2014-01,SU,4
18456009,3127,HF021635,2024-01,B,5
17147602,897,DS033450,2013-01,SU,4
17147602,897,DS033453,2013-01,SU,4
17147602,897,DS033453,2013-01,I,3
17147602,897,DS034440,2013-01,SU,4
17147602,897,DS033456,2013-02,I,3
17147602,897,DS033457,2013-02,SU,4
17147602,897,DS033458,2013-02,I,3
17147602,897,DS033458,2013-02,SU,4
17147602,897,DS033459,2013-02,SU,4
17147602,897,DS034091,2013-02,SU,4
17147602,897,DS033456,2014-01,SU,4
17147602,897,DS033462,2014-01,SU,4
17147602,897,DS033463,2014-01,SU,4
17147602,897,DS033464,2014-01,MM,1
17147602,897,DS033464,2014-01,I,3
17147602,897,DS034092,2014-01,B,5
17147602,897,DS033464,2014-02,SU,4
17147602,897,DS033468,2014-02,SU,4
17147602,897,DS033468,2014-02,I,3
17147602,897,DS033469,2014-02,MM,1
17147602,897,DS033469,2014-02,I,3
17147602,897,DS033470,2014-02,SU,4
17147602,897,DS033467,2015-01,MM,1
17147602,897,DS033469,2015-01,SU,4
17147602,897,DS033469,2015-01,I,3
17147602,897,DS033474,2015-01,MM,1
17147602,897,DS033474,2015-01,I,3
17147602,897,DS033467,2015-02,MM,1
17147602,897,DS033474,2015-02,MM,1
17147602,897,DS033475,2015-02,MM,1
17147602,897,DS033476,2015-02,MM,1
17147602,897,DS033473,2017-01,MM,1
17147602,897,DS033473,2017-01,M,2
17147602,897,DS033480,2017-01,I,3
17147602,897,DS033487,2017-01,SU,4
17147602,897,DS033977,2017-01,SU,4
17147602,897,DS033473,2017-02,M,2
17147602,897,DS033476,2017-02,SU,4
17147602,897,DS033476,2017-02,I,3
17147602,897,DS033480,2017-02,SU,4
17147602,897,DS034441,2017-02,SU,4
17147602,897,DS033473,2018-01,B,5
17147602,897,DS033481,2018-01,SU,4
17147602,897,DS033482,2018-01,B,5
17147602,897,DS033485,2018-01,SU,4
17147602,897,DS033486,2018-01,SU,4
17147602,897,DS033479,2018-02,SU,4
17147602,897,DS033488,2018-02,MM,1
17147602,897,DS033488,2018-02,I,3
17147602,897,DS034442,2018-02,M,2
17147602,897,DS034497,2018-02,B,5
17147602,897,DS033488,2019-01,B,5
17147602,897,DS033490,2019-01,SO,6
17147602,897,DS034000,2019-01,SO,6
17147602,897,DS034093,2019-01,SO,6
17147602,897,DS033489,2019-02,B,5
17147602,897,DS033491,2019-02,SO,6
17147602,897,DS033512,2019-02,M,2
17147602,897,DS034444,2019-02,SO,6
17147602,897,DS033492,2020-01,MB,6
17147602,897,DS033493,2020-01,B,5
17147602,897,DS034137,2020-01,MB,6
17147602,897,DS0327508,2020-01,SO,6
17147602,897,DS0327549,2020-01,MB,6
17147602,897,DS033494,2020-02,SO,6
17147602,897,DS033495,2020-02,SO,6
17147602,897,DS033509,2020-02,MB,6
17147602,897,DS034495,2020-02,SO,6
17147602,897,DS034868,2020-02,SO,6
17147602,897,DS033451,2013-01,B,5
18456009,3127,HF0227529,2017-02,B,5
18456009,3127,HF023985,2017-02,MB,6
18456009,3127,HF024136,2017-02,MB,6
17147602,897,DS033946,2019-02,MB,6
18456009,3127,HF024444,2018-01,SU,4
18456009,3127,HF023461,2014-02,B,5
17147602,897,DS033461,2014-02,B,5
18456009,3127,HF023494,2018-01,SU,4
17147602,897,DS0310059,2024-01,x,
17147602,897,DS034094,2013-01,SU,4
17147602,897,DS034090,2013-01,B,5
15245824,2430,DV023493,2020-01,SO,7
14321184,2667,DV023457,2015-02,SU,4
14321184,2667,DV023468,2017-02,SU,4
14321184,2667,DV023474,2018-01,SU,4
14321184,2667,DV023480,2021-01,B,5
15245824,2430,DV024442,2019-02,MB,6
14321184,2667,DV023488,2018-02,SU,4
15245824,2430,DV023467,2018-01,SU,4
15245824,2430,DV023473,2018-02,SU,4
15245824,2430,DV023450,2016-01,SU,4
14321184,2667,DV023464,2015-02,SU,4
14321184,2667,DV023458,2015-01,SU,4
15245824,2430,DV023463,2017-02,MB,6
14321184,2667,DV023469,2016-02,SU,4
15245824,2430,DV023469,2018-01,MB,6
14321184,2667,DV023475,2017-02,SU,4
15245824,2430,DV023461,2017-01,SU,4
14321184,2667,DV023461,2017-02,SU,4
15245824,2430,DV023494,2020-01,SO,7
15245824,2430,DV023492,2020-02,SO,7
14321184,2667,DV023453,2015-01,NP,
14321184,2667,DV023453,2015-01,I,3
14321184,2667,DV023457,2015-01,I,3
14321184,2667,DV023458,2015-01,I,3
14321184,2667,DV023459,2015-01,SU,4
14321184,2667,DV023506,2015-01,MB,6
14321184,2667,DV023453,2015-02,SU,4
14321184,2667,DV023453,2015-02,I,3
14321184,2667,DV023457,2015-02,I,3
14321184,2667,DV023463,2015-02,I,3
14321184,2667,DV024000,2015-02,SU,4
14321184,2667,DV0210059,2015-02,SU,4
15245824,2430,DV023451,2016-01,I,3
15245824,2430,DV023453,2016-01,SU,4
14321184,2667,DV023456,2016-01,M,2
14321184,2667,DV023456,2016-01,SU,4
14321184,2667,DV023462,2016-01,I,3
14321184,2667,DV023463,2016-01,SU,4
14321184,2667,DV023463,2016-01,I,3
14321184,2667,DV023485,2016-01,I,3
15245824,2430,DV024090,2016-01,MB,6
14321184,2667,DV024148,2016-01,SO,6
15245824,2430,DV024440,2016-01,SU,4
15245824,2430,DV023451,2016-02,SU,4
15245824,2430,DV023456,2016-02,SU,4
15245824,2430,DV023456,2016-02,M,2
15245824,2430,DV023457,2016-02,SU,4
15245824,2430,DV023458,2016-02,MM,1
15245824,2430,DV023458,2016-02,I,3
15245824,2430,DV023459,2016-02,SU,4
14321184,2667,DV023462,2016-02,I,3
14321184,2667,DV023469,2016-02,I,3
14321184,2667,DV023485,2016-02,NP,
14321184,2667,DV023485,2016-02,I,3
15245824,2430,DV024002,2016-02,B,5
14321184,2667,DV024093,2016-02,B,5
15245824,2430,DV023458,2017-01,SU,4
15245824,2430,DV023461,2017-01,I,3
14321184,2667,DV023461,2017-01,M,2
15245824,2430,DV023462,2017-01,SU,4
14321184,2667,DV023462,2017-01,SU,4
15245824,2430,DV023464,2017-01,SU,4
14321184,2667,DV023475,2017-01,I,3
15245824,2430,DV024091,2017-01,B,5
14321184,2667,DV023461,2017-02,I,3
15245824,2430,DV023467,2017-02,I,3
15245824,2430,DV023468,2017-02,B,5
14321184,2667,DV023468,2017-02,I,3
14321184,2667,DV023475,2017-02,I,3
15245824,2430,DV023467,2018-01,I,3
14321184,2667,DV023467,2018-01,M,2
15245824,2430,DV023470,2018-01,B,5
14321184,2667,DV023470,2018-01,I,3
14321184,2667,DV023470,2018-01,B,5
15245824,2430,DV023474,2018-01,SU,4
14321184,2667,DV023474,2018-01,I,3
14321184,2667,DV023487,2018-01,SU,4
14321184,2667,DV023488,2018-01,I,3
15245824,2430,DV024093,2018-01,B,5
14321184,2667,DV023467,2018-02,I,3
15245824,2430,DV023473,2018-02,I,3
15245824,2430,DV023475,2018-02,B,5
15245824,2430,DV023476,2018-02,B,5
15245824,2430,DV023480,2018-02,SU,4
14321184,2667,DV023480,2018-02,I,3
14321184,2667,DV023485,2018-02,MM,1
14321184,2667,DV023485,2018-02,I,3
14321184,2667,DV023488,2018-02,I,3
14321184,2667,DV024441,2018-02,M,2
15245824,2430,DV023479,2019-01,I,3
15245824,2430,DV023482,2019-01,SU,4
15245824,2430,DV023486,2019-01,SU,4
15245824,2430,DV023487,2019-01,B,5
15245824,2430,DV023488,2019-01,B,5
15245824,2430,DV023481,2019-02,MB,6
15245824,2430,DV023485,2019-02,B,5
15245824,2430,DV023491,2019-02,B,5
15245824,2430,DV024441,2019-02,B,5
15245824,2430,DV023479,2020-01,B,5
15245824,2430,DV023489,2020-01,B,5
15245824,2430,DV023949,2020-01,B,5
15245824,2430,DV0227544,2020-01,MB,6
14321184,2667,DV024091,2016-02,MB,6
15245824,2430,DV023490,2020-02,MB,6
15245824,2430,DV023509,2020-02,SO,6
15245824,2430,DV023946,2020-02,SO,6
15245824,2430,DV0227554,2020-02,B,5
14321184,2667,DV023467,2021-01,M,2
